group,type,dog,desc,link
Best Dogs for Apartments,Characteristic,Bulldog,"Calm, courageous, and friendly; dignified but amusing.",/dog-breeds/bulldog/
Best Dogs for Apartments,Characteristic,Shih Tzu,"Outgoing, affectionate, playful and charming",/dog-breeds/shih-tzu/
Best Dogs for Apartments,Characteristic,Cavalier King Charles Spaniel,"Affectionate, graceful, and gentle.",/dog-breeds/cavalier-king-charles-spaniel/
Best Dogs for Apartments,Characteristic,Pug,"Even-tempered, charming, mischievous and loving.",/dog-breeds/pug/
Best Dogs for Apartments,Characteristic,Bichon Frise,"Playful, curious, and peppy.",/dog-breeds/bichon-frise/
Best Dogs for Apartments,Characteristic,French Bulldog,"Playful, smart, adaptable, and completely irresistible.",/dog-breeds/french-bulldog/
Best Dogs for Apartments,Characteristic,Greyhound,"Independent, gentle, noble, and oh so sweet, but intense when on the run.",/dog-breeds/greyhound/
Best Dogs for Apartments,Characteristic,Havanese,"Outgoing, funny, & intelligent.",/dog-breeds/havanese/
Best Dogs for Apartments,Characteristic,Maltese,"Gentle, playful, affectionate; fearless in a charming toy-dog way.",/dog-breeds/maltese/
Best Dogs for Apartments,Characteristic,Chinese Crested,"Lively, alert, and affectionate.",/dog-breeds/chinese-crested/
Best Dogs for Kids,Characteristic,Bulldog,"Calm, courageous, and friendly; dignified but amusing.",/dog-breeds/bulldog/
Best Dogs for Kids,Characteristic,Beagle,"Beagles are loving and lovable, happy, easygoing, and companionable. ",/dog-breeds/beagle/
Best Dogs for Kids,Characteristic,Newfoundland,"Sweet, patient, devoted; Newfs are famously good companions",/dog-breeds/newfoundland/
Best Dogs for Kids,Characteristic,Golden Retriever,"Intelligent, friendly, and devoted.",/dog-breeds/golden-retriever/
Best Dogs for Kids,Characteristic,Labrador Retriever,"Friendly and outgoing, Labs play well with others",/dog-breeds/labrador-retriever/
Best Dogs for Kids,Characteristic,Soft Coated Wheaten Terrier,"Happy, friendly, and deeply devoted; just stubborn enough to remind you they’re terriers.",/dog-breeds/soft-coated-wheaten-terrier/
Best Dogs for Kids,Characteristic,Weimaraner,"Friendly, fearless, alert, obedient.",/dog-breeds/weimaraner/
Best Dogs for Kids,Characteristic,Bull Terrier,"Playful and charming; sometimes mischievous, always loyal.",/dog-breeds/bull-terrier/
Best Dogs for Kids,Characteristic,Boxer,"Fun-loving, bright, active and loyal.",/dog-breeds/boxer/
