"","ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"26730","1",0.03,0,0.05,0.12,0.8
"26731","2",0.88,0,0,0.07,0.05
"26732","3",0.15,0,0.01,0.39,0.45
"26733","4",0.14,0,0.06,0.23,0.57
"26734","5",0.46,0,0,0.52,0.02
"26735","6",0.11,0,0,0.87,0.02
"26736","7",0.48,0.05,0.28,0.06,0.13
"26737","8",0.87,0,0.01,0.02,0.1
"26738","9",0.91,0,0,0.05,0.04
"26739","10",0.76,0,0.01,0.22,0.01
"26740","11",0.87,0,0,0.05,0.08
"26741","12",0,0,0.13,0.11,0.76
"26742","13",0.61,0,0,0.09,0.3
"26743","14",0.97,0,0,0,0.03
"26744","15",0.97,0,0,0.03,0
"26745","16",0.92,0,0,0.06,0.02
"26746","17",0.26,0,0.01,0.66,0.07
"26747","18",0.57,0,0,0.32,0.11
"26748","19",0.14,0.01,0.01,0.17,0.67
"26749","20",0.01,0,0.25,0.05,0.69
"26750","21",0.75,0,0.01,0.18,0.06
"26751","22",0,0,0,0,1
"26752","23",0.89,0,0,0.05,0.06
"26753","24",0,0,0.04,0,0.96
"26754","25",0.75,0,0.01,0.16,0.08
"26755","26",0.09,0,0.13,0.1,0.68
"26756","27",0.89,0,0,0,0.11
"26757","28",0.01,0.04,0.23,0,0.72
"26758","29",0.42,0,0.01,0.55,0.02
"26759","30",0.39,0,0,0.6,0.01
"26760","31",0.18,0,0,0.09,0.73
"26761","32",0.67,0,0,0.15,0.18
"26762","33",0.11,0.03,0.13,0.06,0.67
"26763","34",0.98,0.01,0,0.01,0
"26764","35",0.55,0,0.02,0,0.43
"26765","36",0.59,0,0.04,0.15,0.22
"26766","37",0.02,0.01,0.03,0,0.94
"26767","38",0.99,0,0,0.01,0
"26768","39",0.26,0,0.06,0.57,0.11
"26769","40",0.31,0,0.01,0.14,0.54
"26770","41",0.06,0,0.06,0.23,0.65
"26771","42",0,0,0,0,1
"26772","43",0.31,0.01,0,0.05,0.63
"26773","44",0,0.07,0.01,0,0.92
"26774","45",0.14,0.03,0.21,0.03,0.59
"26775","46",0.5,0,0.02,0.08,0.4
"26776","47",0.26,0.01,0.05,0.19,0.49
"26777","48",0.9,0,0,0.05,0.05
"26778","49",0.2,0,0.01,0.72,0.07
"26779","50",0.02,0.02,0.03,0.29,0.64
"26780","51",0.01,0,0.01,0,0.98
"26781","52",0.19,0,0,0.79,0.02
"26782","53",0.99,0,0,0,0.01
"26783","54",0.18,0.01,0,0,0.81
"26784","55",0,0,0.46,0.02,0.52
"26785","56",0.29,0,0.04,0.24,0.43
"26786","57",0.58,0,0,0.4,0.02
"26787","58",0,0.03,0.01,0,0.96
"26788","59",0,0,0.04,0,0.96
"26789","60",0.68,0,0,0.01,0.31
"26790","61",0.86,0,0,0.01,0.13
"26791","62",0.1,0,0,0.8,0.1
"26792","63",0.41,0,0,0.21,0.38
"26793","64",0,0.04,0.01,0,0.95
"26794","65",0,0,0,0,1
"26795","66",0.93,0,0,0.07,0
"26796","67",0.74,0,0,0,0.26
"26797","68",0.15,0.02,0.12,0.36,0.35
"26798","69",0.47,0,0.02,0.47,0.04
"26799","70",0,0,0.01,0,0.99
"26800","71",0,0,0,0.02,0.98
"26801","72",0.99,0,0,0,0.01
"26802","73",0,0.03,0.02,0,0.95
"26803","74",0.25,0,0.01,0.51,0.23
"26804","75",0,0,0,0,1
"26805","76",0.52,0,0.15,0.01,0.32
"26806","77",0.77,0,0,0,0.23
"26807","78",0.01,0,0.06,0,0.93
"26808","79",0.27,0,0.05,0.47,0.21
"26809","80",0.98,0,0,0.02,0
"26810","81",0,0.01,0,0,0.99
"26811","82",0,0,0,0,1
"26812","83",0.73,0,0,0.26,0.01
"26813","84",0,0,0.09,0,0.91
"26814","85",0.53,0,0.03,0.37,0.07
"26815","86",0.01,0.05,0.18,0,0.76
"26816","87",0.02,0,0.2,0.58,0.2
"26817","88",0.81,0,0,0.09,0.1
"26818","89",0.01,0,0.23,0.15,0.61
"26819","90",0.71,0,0,0.01,0.28
"26820","91",0,0,0.04,0,0.96
"26821","92",0,0,0.03,0,0.97
"26822","93",0.71,0,0,0.01,0.28
"26823","94",0.54,0,0.02,0.41,0.03
"26824","95",0.02,0.01,0.05,0,0.92
"26825","96",0.88,0,0,0.1,0.02
"26826","97",0.55,0,0.01,0.4,0.04
"26827","98",0,0,0,0,1
"26828","99",0.45,0.01,0.01,0,0.53
"26829","100",0.37,0,0,0.4,0.23
"26830","101",0.58,0,0,0,0.42
"26831","102",0.97,0,0,0.03,0
"26832","103",0.37,0,0.03,0.37,0.23
"26833","104",0.61,0,0,0.07,0.32
"26834","105",0.34,0,0.01,0.19,0.46
"26835","106",0.82,0,0.01,0.08,0.09
